id,Название фильма,Дата создания
663712,Terrifier 2,"Oct 06, 2022"
436270,Black Adam,"Oct 19, 2022"
675054,MexZombies,"Oct 26, 2022"
49046,All Quiet on the Western Front,"Oct 07, 2022"
732459,Blade of the 47 Ronin,"Oct 25, 2022"
505642,Black Panther: Wakanda Forever,"Nov 09, 2022"
829280,Enola Holmes 2,"Nov 04, 2022"
985939,Fall,"Aug 11, 2022"
420634,Terrifier,"Mar 15, 2018"
1033107,Wild Is the Wind,"Oct 28, 2022"
830788,The Invitation,"Aug 24, 2022"
575322,Project Gemini,"Jan 06, 2022"
717728,Jeepers Creepers: Reborn,"Sep 15, 2022"
642885,Hocus Pocus 2,"Sep 27, 2022"
361743,Top Gun: Maverick,"May 24, 2022"
760161,Orphan: First Kill,"Jul 27, 2022"
960704,Fullmetal Alchemist: The Final Alchemy,"Jun 24, 2022"
879538,Crawlspace,"Mar 31, 2022"
718930,Bullet Train,"Jul 03, 2022"
928123,The Battle at Lake Changjin: Water Gate Bridge,"Feb 01, 2022"
